,Model,Substância,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8
1957,RandomForestClassifier,Ketamine,153,0,0,27,0,0,7,0,0
1958,RandomForestClassifier,Ketamine,152,1,0,27,0,0,7,0,0
1959,RandomForestClassifier,Ketamine,152,1,0,27,0,0,7,0,0
1960,RandomForestClassifier,Ketamine,154,0,0,26,0,0,8,0,0
1961,RandomForestClassifier,Ketamine,152,1,0,27,0,0,8,0,0
1962,RandomForestClassifier,Ketamine,152,1,0,27,0,0,8,0,0
1963,RandomForestClassifier,Ketamine,152,1,0,27,0,0,8,0,0
1964,RandomForestClassifier,Ketamine,153,0,0,26,1,0,8,0,0
1965,RandomForestClassifier,Ketamine,153,0,0,27,0,0,8,0,0
1966,RandomForestClassifier,Ketamine,152,1,0,27,0,0,8,0,0
1967,RandomForestClassifier,Ketamine,152,1,0,27,0,0,7,0,0
1968,RandomForestClassifier,Ketamine,153,0,0,26,1,0,7,0,0
1969,RandomForestClassifier,Ketamine,153,0,0,27,0,0,7,0,0
1970,RandomForestClassifier,Ketamine,154,0,0,25,1,0,8,0,0
1971,RandomForestClassifier,Ketamine,152,1,0,25,1,1,8,0,0
1972,RandomForestClassifier,Ketamine,152,1,0,27,0,0,8,0,0
1973,RandomForestClassifier,Ketamine,153,0,0,27,0,0,8,0,0
1974,RandomForestClassifier,Ketamine,153,0,0,27,0,0,8,0,0
1975,RandomForestClassifier,Ketamine,153,0,0,27,0,0,8,0,0
1976,RandomForestClassifier,Ketamine,152,1,0,27,0,0,8,0,0
1977,RandomForestClassifier,Ketamine,153,0,0,27,0,0,7,0,0
1978,RandomForestClassifier,Ketamine,151,2,0,26,1,0,7,0,0
1979,RandomForestClassifier,Ketamine,153,0,0,27,0,0,7,0,0
1980,RandomForestClassifier,Legalh,100,11,2,21,27,3,7,16,1
1981,RandomForestClassifier,Legalh,92,18,2,23,25,4,8,15,1
1982,RandomForestClassifier,Legalh,102,10,0,19,30,3,5,18,1
1983,RandomForestClassifier,Legalh,103,8,1,14,33,5,11,9,4
1984,RandomForestClassifier,Legalh,95,16,1,20,28,4,5,16,3
1985,RandomForestClassifier,Legalh,97,15,0,26,24,2,6,16,2
1986,RandomForestClassifier,Legalh,100,12,0,21,30,1,6,16,2
1987,RandomForestClassifier,Legalh,100,12,0,23,26,2,8,14,2
1988,RandomForestClassifier,Legalh,104,8,0,25,23,3,11,12,1
1989,RandomForestClassifier,Legalh,101,11,0,26,21,4,8,14,2
1990,RandomForestClassifier,Legalh,98,13,2,25,25,1,5,16,3
1991,RandomForestClassifier,Legalh,94,17,1,18,31,3,8,15,1
1992,RandomForestClassifier,Legalh,103,7,2,24,24,4,2,20,2
1993,RandomForestClassifier,Legalh,104,8,0,22,29,1,3,19,2
1994,RandomForestClassifier,Legalh,98,13,1,24,26,2,7,17,0
1995,RandomForestClassifier,Legalh,98,13,1,20,31,1,8,15,1
1996,RandomForestClassifier,Legalh,100,10,2,21,29,2,14,9,1
1997,RandomForestClassifier,Legalh,103,9,0,21,23,7,7,15,2
1998,RandomForestClassifier,Legalh,99,13,0,14,35,2,8,15,1
1999,RandomForestClassifier,Legalh,105,7,0,20,27,4,9,12,3
2000,RandomForestClassifier,Legalh,95,17,1,24,24,3,6,15,3
2001,RandomForestClassifier,Legalh,100,11,1,29,19,4,9,11,4
2002,RandomForestClassifier,Legalh,99,12,1,28,21,3,4,16,4
2003,RandomForestClassifier,Legalh,103,9,0,20,29,3,5,18,1
2004,RandomForestClassifier,Legalh,98,14,0,19,30,3,7,16,1
2005,RandomForestClassifier,Legalh,98,12,2,22,26,4,4,16,4
2006,RandomForestClassifier,Legalh,100,12,0,18,31,3,5,19,0
2007,RandomForestClassifier,Legalh,102,9,1,17,32,2,6,16,2
2008,RandomForestClassifier,Legalh,100,11,1,27,22,2,8,16,0
2009,RandomForestClassifier,Legalh,98,14,0,17,30,4,11,11,2
2010,RandomForestClassifier,LSD,125,8,0,25,13,1,12,4,0
2011,RandomForestClassifier,LSD,123,10,0,27,12,0,7,9,0
2012,RandomForestClassifier,LSD,122,8,3,26,12,1,8,7,1
2013,RandomForestClassifier,LSD,116,17,0,21,18,0,8,7,1
2014,RandomForestClassifier,LSD,125,6,2,25,13,0,10,6,1
2015,RandomForestClassifier,LSD,127,6,0,30,8,0,14,3,0
2016,RandomForestClassifier,LSD,120,12,0,25,12,2,11,6,0
2017,RandomForestClassifier,LSD,123,8,1,26,12,1,8,8,0
2018,RandomForestClassifier,LSD,125,7,0,28,8,3,8,8,0
2019,RandomForestClassifier,LSD,127,5,0,25,9,5,8,6,2
2020,RandomForestClassifier,LSD,123,8,2,30,8,1,9,7,0
2021,RandomForestClassifier,LSD,124,7,2,22,15,2,8,8,0
2022,RandomForestClassifier,LSD,122,10,1,30,7,2,11,5,0
2023,RandomForestClassifier,LSD,122,10,1,29,9,1,3,13,0
2024,RandomForestClassifier,LSD,123,9,1,25,13,0,12,3,2
2025,RandomForestClassifier,LSD,117,16,0,23,15,0,9,8,0
2026,RandomForestClassifier,LSD,124,8,0,27,11,1,11,6,0
2027,RandomForestClassifier,LSD,123,9,0,29,10,0,10,5,1
2028,RandomForestClassifier,LSD,128,4,0,25,13,1,12,4,0
2029,RandomForestClassifier,LSD,125,6,1,26,11,2,11,4,1
