,Model,Substância,cm_0,cm_1,cm_2,cm_3
1136,BernoulliNB,Amphet,91,30,18,49
1137,BernoulliNB,Amphet,97,23,21,46
1138,BernoulliNB,Amphet,74,46,24,43
1139,BernoulliNB,Amphet,95,25,27,40
1140,BernoulliNB,Amyl,151,0,37,0
1141,BernoulliNB,Amyl,151,0,37,0
1142,BernoulliNB,Amyl,151,0,37,0
1143,BernoulliNB,Amyl,151,0,37,0
1144,BernoulliNB,Amyl,151,0,37,0
1145,BernoulliNB,Amyl,151,0,37,0
1146,BernoulliNB,Amyl,151,0,37,0
1147,BernoulliNB,Amyl,151,0,36,0
1148,BernoulliNB,Amyl,151,0,36,0
1149,BernoulliNB,Amyl,150,0,37,0
1150,BernoulliNB,Amyl,151,0,37,0
1151,BernoulliNB,Amyl,151,0,37,0
1152,BernoulliNB,Amyl,151,0,37,0
1153,BernoulliNB,Amyl,151,0,37,0
1154,BernoulliNB,Amyl,151,0,37,0
1155,BernoulliNB,Amyl,151,0,37,0
1156,BernoulliNB,Amyl,151,0,37,0
1157,BernoulliNB,Amyl,151,0,36,0
1158,BernoulliNB,Amyl,151,0,36,0
1159,BernoulliNB,Amyl,150,0,37,0
1160,BernoulliNB,Amyl,151,0,37,0
1161,BernoulliNB,Amyl,151,0,37,0
1162,BernoulliNB,Amyl,151,0,37,0
1163,BernoulliNB,Amyl,151,0,37,0
1164,BernoulliNB,Amyl,151,0,37,0
1165,BernoulliNB,Amyl,151,0,37,0
1166,BernoulliNB,Amyl,151,0,37,0
1167,BernoulliNB,Amyl,151,0,36,0
1168,BernoulliNB,Amyl,151,0,36,0
1169,BernoulliNB,Amyl,150,0,37,0
1170,BernoulliNB,Benzos,84,27,44,33
1171,BernoulliNB,Benzos,87,24,37,40
1172,BernoulliNB,Benzos,87,25,39,37
1173,BernoulliNB,Benzos,79,33,36,40
1174,BernoulliNB,Benzos,84,28,31,45
1175,BernoulliNB,Benzos,88,24,39,37
1176,BernoulliNB,Benzos,85,27,38,38
1177,BernoulliNB,Benzos,80,31,33,43
1178,BernoulliNB,Benzos,88,23,31,45
1179,BernoulliNB,Benzos,82,29,43,33
1180,BernoulliNB,Benzos,83,28,34,43
1181,BernoulliNB,Benzos,83,28,46,31
1182,BernoulliNB,Benzos,80,32,32,44
1183,BernoulliNB,Benzos,82,30,33,43
1184,BernoulliNB,Benzos,93,19,42,34
